R_age,B_age,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_TD_pct,B_avg_TD_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,weight_class,Winner,age_diff,height_diff,reach_diff,strike_acc_diff,td_acc_diff,sub_att_diff
34.0,30.0,175.26,170.18,175.26,175.26,0.45828125,0.725,0.02671875,0.5,0.1640625,1.5,Featherweight,Blue,4.0,5.079999999999984,0.0,-0.26671875,-0.47328125,-1.3359375
32.0,25.0,182.88,190.5,195.58,190.5,0.63,0.61,0.0,0.12,0.0,4.0,Middleweight,Red,7.0,-7.6200000000000045,5.0800000000000125,0.020000000000000018,-0.12,-4.0
30.0,36.0,193.04,190.5,203.2,200.66,0.5959716796875,0.6138958358764648,0.47080078125,0.5434281539916992,0.0,0.0,Heavyweight,Blue,-6.0,2.539999999999992,2.539999999999992,-0.017924156188964813,-0.07262737274169917,0.0
36.0,29.0,170.18,167.64,175.26,180.34,0.4519433593749999,0.42,0.000284423828125,0.0,0.0,0.0,Bantamweight,Blue,7.0,2.5400000000000205,-5.0800000000000125,0.031943359374999925,0.000284423828125,0.0
42.0,27.0,190.5,195.58,195.58,198.12,0.4369945412687956,0.8200000000000001,0.006077614063397,0.5,2.537854015827179e-07,0.0,Heavyweight,Blue,15.0,-5.0800000000000125,-2.539999999999992,-0.38300545873120445,-0.493922385936603,2.537854015827179e-07
32.0,33.0,175.26,172.72,172.72,170.18,0.55265625,0.44,0.3290625,1.0,0.0,0.0,Featherweight,Red,-1.0,2.539999999999992,2.539999999999992,0.11265624999999996,-0.6709375,0.0
32.0,31.0,175.26,185.42,182.88,187.96,0.47,0.450625,0.0,0.301875,0.0,0.6875,Featherweight,Blue,1.0,-10.159999999999997,-5.0800000000000125,0.019374999999999976,-0.301875,-0.6875
32.0,32.0,180.34,187.96,182.88,190.5,0.45146484375,0.3463671875,0.2529296875,0.1679296875,0.28125,0.015625,Welterweight,Red,0.0,-7.6200000000000045,-7.6200000000000045,0.10509765625,0.08499999999999999,0.265625
30.0,30.0,177.8,187.96,190.5,182.88,0.4087499999999999,0.405,0.375,0.0,0.125,2.5,Middleweight,Blue,0.0,-10.159999999999997,7.6200000000000045,0.0037499999999998646,0.375,-2.375
33.0,34.0,182.88,177.8,193.04,180.34,0.5843505859375,0.6153271484375,0.2471435546875,0.2204443359375,0.00244140625,0.6571044921875,Welterweight,Red,-1.0,5.079999999999984,12.699999999999989,-0.030976562500000027,0.026699218749999976,-0.6546630859375
28.0,34.0,167.64,167.64,175.26,167.64,0.4834375,0.3490234375,0.58859375,0.12275390625,0.515625,0.568359375,Featherweight,Red,-6.0,0.0,7.6200000000000045,0.13441406250000004,0.46583984375000004,-0.052734375
29.0,32.0,175.26,180.34,180.34,182.88,0.2288749694824218,0.649375,0.577230224609375,0.14625,0.0001373291015625,0.125,Middleweight,Red,-3.0,-5.0800000000000125,-2.539999999999992,-0.4205000305175782,0.430980224609375,-0.1248626708984375
31.0,27.0,182.88,182.88,185.42,190.5,0.48,0.2525,0.71,0.165,1.0,0.25,Middleweight,Blue,4.0,0.0,-5.0800000000000125,0.22749999999999998,0.5449999999999999,0.75
34.0,39.0,177.8,170.18,185.42,177.8,0.4184706783294678,0.3756168338283896,0.0663610553741455,0.1965969309583306,0.00390625,0.0020926520228385,Lightweight,Blue,-5.0,7.6200000000000045,7.619999999999976,0.04285384450107821,-0.13023587558418512,0.0018135979771614998
